code,name,description,weight,countryOfOrigin,supplierName
OF001,Executive Desk,Modern wooden executive desk with drawers,50,CN,OfficeFurnish Ltd
OF002,Ergonomic Chair,Adjustable office chair with lumbar support,15,VN,ComfortSeating GmbH
OF003,Conference Table,Large wooden conference table for meetings,80,Global,BoardRoom Supplies
OF004,Bookshelf,5-tier wooden bookshelf for office storage,30,CN,ScandiOffice Solutions
OF005,File Cabinet,Steel file cabinet with locking drawers,45,VN,SecureFiles Inc
OF006,Cubicle Partition,Modular cubicle partition with soundproofing,25,Global,Workspace Solutions
OF007,Reception Desk,Modern reception desk with storage compartments,60,CN,WelcomeOffice Designs
OF008,Office Sofa,3-seater leather office lounge sofa,40,VN,Elite Interiors
OF009,Standing Desk,Height-adjustable standing desk with electric control,35,Global,ActiveWork Ltd
OF010,Whiteboard,Large magnetic whiteboard with stand,10,CN,SmartBoards Inc
