Country/Region,Material Class,Material Type,Process,Source,Process Description,Detailed Explanation,Assumed Product Weight (kg),AI Rationale for the selection of the source/EF,Rationale for Assumed Product Weight,Source / Reference,EF (kgCO2) per 1 kg,Calculation Summary,Calculated Energy per kg (kWh/kg),Notes,Source,Ai Rationale for the selection,,,
Italy,Plastic,Polypropylene (PP),Whole process,EPD,Whole process of manufacturing PP armchair is considered,Core module related enrgy consumption from an EPD is referred (6.6+175MJ) (CORE PRODUCTION),4.701,,Total material weight of the product,EPD TRILL ARMCHAIR (Plastic) 2022/04/12  - 2027/04/11.pdf,Keep out of backend updates,((23)*0.277777778)/4.702,1.36,"MJ to kWh conversion is Performed and per kg kWh value is derieved
 Non-renewable energy considered in this exercise",EPD (The International EPD),"dataset is best classified as a:

Direct Match
(Same material and manufacturing process)",,,
China,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,,1.136,,,,,,,,
Vietnam,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,,0.856,,,,,,,,
Global,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,,0.921,,,,,,,,
Czech Republic,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,,0.900,,,,,,,,
France,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,,0.105,,,,,,,,
Netherlands,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,,0.602,,,,,,,,
Poland,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,,1.306,,,,,,,,
Spain,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,,0.275,,,,,,,,
Taiwan,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,,1.048,,,,,,,,
United States ,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,,0.656,,,,,,,,
India,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,,1.955,,,,,,,,
United Kingdom,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,,0.381,,,,,,,,
Rest-of-World,Plastic,Polypropylene (PP),Whole process,EPD,,,,,,,1.400,,,,,,,,
Rest-of-World,Plastic,Acrylonitrile Butadiene Styrene (ABS),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,,Total material weight of the product,3.11-cutoff-1315.pdf,1.420,,,Ecoinvent,Ecoinvent V 3.11," this dataset is best classified as a:

Proxy
(Different material or product type but comparable A3 manufacturing processes and energy intensities)",,,
New Zealand,Plastic,Polyvinyl Chloride (PVC),A3 Process for PVC Gutters and Downpipes,EPD,A3 Process for PVC Gutters and Downpipes,"A3 – Manufacturing
Includes:

Extrusion of PVC into gutter/downpipe profiles

Cooling, cutting, and inspection

Regrinding and reuse of scrap

Use of electricity and water for cooling

Packaging (e.g., cardboard, plastic wrap)
",1,,declared Unit: 1 kg,S-P-05501 PVC Pipes Gutters Downpipes 20221125 - 20271125.pdf,0.460,"| **Stage** | **kg CO₂-eq** | **% of A1–A3 total** |
| --------- | ------------- | -------------------- |
| A1        | 2.26          | 78.9%                |
| A2        | 0.14          | 5.0%                 |
| A3        | 0.46          | 16.1%                |
| **A1–A3** | **2.86**      | 100%                 |

Table 14. EPD results for 1kg of Gutter MS1 - Stormcloud
 
1 kg of installed pipe",,"| **Stage** | **kg CO₂-eq** | **% of A1–A3 total** |
| --------- | ------------- | -------------------- |
| A1        | 2.26          | 78.9%                |
| A2        | 0.14          | 5.0%                 |
| A3        | 0.46          | 16.1%                |
| **A1–A3** | **2.86**      | 100%                 |

Table 14. EPD results for 1kg of Gutter MS1 - Stormcloud
 
1 kg of installed pipe",EPD,Suggest an PVC product,,,
Rest-of-World,Plastic,Polycarbonate (PC),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,,Total material weight of the product,3.11-cutoff-1315.pdf,1.420,,,Ecoinvent,Ecoinvent V 3.11,"📂 Dataset Reviewed:
ecoinvent 3.11 – “Injection moulding - RoW”
[Geography: Rest-of-World | Time: 1993–2024 | System Model: Allocation, cut-off]

🧩 Assessment Outcome:
🟡 Proxy
(Different material but comparable A3 manufacturing processes and energy intensities)",,,
Rest-of-World,Plastic,High-Density Polyethylene (HDPE),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,,Total material weight of the product,3.11-cutoff-1315.pdf,1.420,,,Ecoinvent,Ecoinvent V 3.11,"✅ Assessment: Suitability of Secondary Dataset for A3 Environmental Impacts of HDPE Products
📂 Dataset Reviewed:
Ecoinvent v3.11 — “Injection moulding - RoW”
System model: Allocation, cut-off
Geography: Rest-of-World
Time frame: 1993–2024

🧩 Assessment Outcome:
🟡 Proxy
(Different material but similar A3 process energy profile)",,,
Rest-of-World,Plastic,Thermoplastic Polyurethane (TPU),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,,Total material weight of the product,3.11-cutoff-1315.pdf,1.420,,,Ecoinvent,Ecoinvent V 3.11,"✅ Assessment: Suitability of Ecoinvent 3.11 ""Injection Moulding - RoW"" Dataset for A3 Environmental Impacts of Thermoplastic Polyurethane (TPU)
🧩 Assessment Outcome:
🟡 Proxy
(Not specific to TPU, but the A3 processes are broadly representative of molded thermoplastics)",,,
China,Plastic,Thermoplastic Polyurethane (TPU),Core stage of TPU,EPD,,,,,,EPD-IES-0017982 Thermoplastic Polyurethane (TPU) 20250129-20300129.pdf,0.567,"""✅ Summary Table
Stage	CO₂e (kg CO₂e/kg)	Notes
A1	5.00	High raw material intensity
A2	0.00 (not reported)	Likely included in A1 or negligible
A3	0.567	Manufacturing with gas & electricity
Total (A1–A3)	5.57	Confirmed from EPD total""",,EPD,EPD,From material database,,,
Rest-of-World,Plastic,Acrylic (PMMA),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,,Total material weight of the product,3.11-cutoff-1315.pdf,1.420,,,Ecoinvent,Ecoinvent V 3.11,"✅ Assessment: Suitability of Ecoinvent 3.11 “Injection Moulding – RoW” Dataset for Representing A3 Impacts of Acrylic (PMMA) Products
🧩 Assessment Outcome:
🟡 Proxy
(Not material-specific, but broadly representative of A3-stage plastic forming processes for PMMA)",,,
Rest-of-World,Plastic,Nylon (Polyamide),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,,Total material weight of the product,3.11-cutoff-1315.pdf,1.420,,,Ecoinvent,Ecoinvent V 3.11,"ChatGPT said:
✅ Assessment: Suitability of Ecoinvent 3.11 “Injection Moulding – RoW” Dataset for A3-Only Impacts of Nylon (Polyamide)
🧩 Assessment Outcome:
🟡 Proxy
(Different material, but comparable injection moulding process; partial alignment with nylon forming)",,,
Rest-of-World,Plastic,Polyethylene Terephthalate (PET),Stretch Blow Moulding,Ecoinvent V 3.11,This is delivering the service of 'stretch blow moulding'.,"The dataset activity ""stretch blow moulding"" is a plastic manufacturing process commonly used to produce plastic bottles and containers.",7,,Total material weight of the product,3.11-cutoff-3.pdf,7.941,,,Ecoinvent,Ecoinvent V 3.11,"✅ Assessment: Suitability of Ecoinvent 3.11 “Injection Moulding – RoW” Dataset for A3-Only Impacts of Polyethylene Terephthalate (PET)
🧩 Assessment Outcome:
🟡 Proxy
(Not PET-specific, but represents comparable A3-stage injection moulding processes for rigid PET applications)",,,
Sweden,Plastic,Expanded Polystyrene (EPS),The A3 process for EPS S100,EPD,"The A3 process for EPS S100 involves manufacturing raw materials, packaging, and ancillary materials, fuel use, and waste handling. It covers expanding expandable polystyrene with heat/steam, storing the beads, and forming them into blocks.","The A3 process for EPS S100 involves the manufacturing of raw materials, packaging, and ancillary materials, along with fuel usage and waste handling at the production facility. Key aspects include using polyethylene film for packaging (no pallets), single-plant production with grid electricity, and recycling product-based waste back into the melting process. The process expands expandable polystyrene (containing pentane) with heat/steam, stores the beads, and then uses steam to form them into blocks, which are stored before cutting.",18kg,,18 kg/m3,S-P-05501 PVC Pipes Gutters Downpipes 20221125 - 20271125.pdf,0.079,"Declared unit 1 m3
Mass per declared unit 18 kg",,"Declared unit 1 m3 Mass per declared unit 18 kg
GWP – total  of A3 stage is considered",EPD,Suggest a direct match and updated accordingly,,,
Rest-of-World,Plastic,Low-Density Polyethylene (LDPE),Injection Moulding,Ecoinvent V 3.11,This is delivering the service of 'injection moulding'.,"Injection moulding is the most important process for producing moldings from thermoplastics, elastomers, and thermosets. Injection molding is a discontinuous process in which plastic pellets, granules or powder is melted and injected under pressure into the cavity of a mold, where it is solidified by cooling or thermally cross-linked.",1,,Total material weight of the product,3.11-cutoff-1315.pdf,6.550,,,Ecoinvent,Ecoinvent V 3.11,"✅ Assessment: Suitability of Ecoinvent 3.11 “Injection Moulding – RoW” Dataset for A3-Only Impacts of Low-Density Polyethylene (LDPE)
🧩 Assessment Outcome:
🟢 Direct Match
(Same material and manufacturing process; appropriate for molded LDPE products)",,,
